name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Ederson,0,0,16,0,0.0,212,175,1,0,0.9,9.4,2019-12-21T17:30:00Z,90,0,0,0,0,18,1,994042,1,3,0.0,2,-14118,7437,21555,60,True,0,Leicester,Man City,GK,0
Hugo Lloris,0,0,0,0,0.0,340,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,249034,2,0,0.0,0,-4080,73,4153,53,True,0,Chelsea,Spurs,GK,0
Cenk Tosun,0,0,4,1,1.1,146,174,0,0,1.1,0.0,2019-12-21T12:30:00Z,68,0,0,0,0,18,0,7998,0,0,11.0,2,-164,118,282,57,True,0,Arsenal,Everton,FWD,0
Callum Robinson,0,0,0,0,0.0,453,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,21355,1,0,0.0,0,-1447,119,1566,51,False,0,Brighton,Sheffield Utd,MID,0
Son Heung-Min,0,0,-3,0,1.3,342,178,2,0,0.4,0.0,2019-12-22T16:30:00Z,61,0,0,0,1,18,0,1759586,2,0,8.0,-1,182722,232314,49592,101,True,0,Chelsea,Spurs,MID,0
João Moutinho,1,0,22,0,30.0,415,177,1,0,7.1,22.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,416178,2,1,18.0,4,8770,30993,22223,54,False,1,Norwich,Wolves,MID,0
Danny Rose,0,0,5,0,1.0,332,178,0,0,0.6,5.4,2019-12-22T16:30:00Z,16,0,0,0,0,18,0,103593,2,0,0.0,1,-2283,1079,3362,53,True,0,Chelsea,Newcastle,DEF,0
Martin Kelly,0,0,10,0,2.8,128,176,1,0,1.5,10.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,2292298,0,1,2.0,2,117359,133019,15660,44,False,0,Newcastle,Crystal Palace,DEF,0
Harry Winks,0,0,0,0,0.0,347,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,19455,2,0,0.0,0,-377,195,572,52,True,0,Chelsea,Spurs,MID,0
Scott Carson,0,0,0,0,0.0,562,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,3561,1,3,0.0,0,234,495,261,40,True,0,Leicester,Man City,GK,0
Ashley Westwood,1,0,11,1,12.8,101,172,0,0,3.5,20.4,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,23529,1,0,2.0,5,816,1805,989,54,False,1,Bournemouth,Burnley,MID,0
Lucas Digne,0,3,29,1,16.3,141,174,0,0,3.2,16.0,2019-12-21T12:30:00Z,90,0,0,0,0,18,0,819287,0,0,0.0,9,-60678,1193,61871,57,True,0,Arsenal,Everton,DEF,0
Ayoze Pérez,0,0,6,0,11.7,265,175,2,0,2.2,7.4,2019-12-21T17:30:00Z,67,0,0,0,0,18,0,337973,1,3,3.0,2,-67832,2840,70672,61,False,0,Man City,Leicester,MID,0
Nathan Aké,0,0,0,0,0.0,59,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,617166,1,0,0.0,0,-140350,398,140748,49,True,0,Burnley,Bournemouth,DEF,0
Isaac Hayden,0,0,8,1,5.7,271,176,0,0,1.4,4.4,2019-12-21T15:00:00Z,63,0,0,0,0,18,0,272038,0,1,4.0,3,-7290,4146,11436,44,True,0,Crystal Palace,Newcastle,MID,0
Patrick van Aanholt,0,0,21,0,66.3,123,176,1,0,8.8,20.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,420319,0,1,1.0,2,-53985,1113,55098,55,False,0,Newcastle,Crystal Palace,DEF,0
Ken Sema,0,0,0,0,0.0,372,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,1421,0,2,0.0,0,-59,12,71,48,True,0,Man Utd,Watford,MID,0
Jonny Evans,0,0,17,0,4.0,162,175,3,0,2.8,24.0,2019-12-21T17:30:00Z,90,0,0,0,0,18,0,409224,1,3,0.0,1,24970,45739,20769,52,False,0,Man City,Leicester,DEF,0
Jorginho,0,0,13,0,14.5,118,178,0,0,2.4,9.4,2019-12-22T16:30:00Z,22,0,0,0,0,18,0,243561,2,0,0.0,1,-11152,3871,15023,50,False,0,Spurs,Chelsea,MID,0
Kortney Hause,0,0,12,0,1.2,25,171,3,0,3.2,28.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,4354,3,1,2.0,1,-16,62,78,44,True,0,Southampton,Aston Villa,DEF,0
Trézéguet,0,0,4,0,18.5,465,171,0,0,6.2,8.0,2019-12-21T15:00:00Z,22,0,0,0,0,18,0,108968,3,1,35.0,1,-4870,4699,9569,52,True,0,Southampton,Aston Villa,MID,0
Kyle Walker,0,0,15,0,14.8,203,175,1,0,2.5,8.6,2019-12-21T17:30:00Z,90,0,0,0,0,18,0,858432,1,3,2.0,2,9930,24635,14705,58,True,0,Leicester,Man City,DEF,0
Diego Rico,0,0,9,0,6.6,65,172,1,0,1.7,10.8,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,1139737,1,0,0.0,1,116555,123934,7379,44,True,1,Burnley,Bournemouth,DEF,0
Ryan Bertrand,0,0,13,0,24.8,305,171,1,0,5.7,10.0,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,41542,3,1,22.0,2,1296,2563,1267,48,False,0,Aston Villa,Southampton,DEF,0
Erik Lamela,0,0,0,0,0.0,346,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,84003,2,0,0.0,0,-2469,25,2494,57,True,0,Chelsea,Spurs,MID,0
Allan Saint-Maximin,0,0,0,0,0.0,500,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,22573,0,1,0.0,0,-5986,148,6134,54,True,0,Crystal Palace,Newcastle,MID,0
Eddie Nketiah,0,0,0,0,0.0,13,174,0,0,0.0,0.0,2019-12-21T12:30:00Z,0,0,0,0,0,18,0,43225,0,0,0.0,0,-1635,578,2213,43,False,0,Everton,Arsenal,FWD,0
Callum Wilson,0,0,1,0,5.3,67,172,1,0,1.1,1.8,2019-12-21T15:00:00Z,45,0,0,0,0,18,0,343493,1,0,4.0,1,-32044,374,32418,74,True,0,Burnley,Bournemouth,FWD,0
Antonio Rüdiger,0,0,17,1,1.8,104,178,0,0,0.8,5.4,2019-12-22T16:30:00Z,90,0,0,0,0,18,0,12414,2,0,1.0,5,1465,2113,648,60,False,1,Spurs,Chelsea,DEF,0
Glenn Murray,0,0,-2,0,4.2,44,173,0,0,0.9,0.8,2019-12-21T15:00:00Z,45,0,0,0,0,18,0,55759,1,0,4.0,1,-884,473,1357,55,True,0,Sheffield Utd,Brighton,FWD,0
Arnaut Danjuma,0,0,0,0,0.0,492,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,2274,1,0,0.0,0,-183,10,193,58,True,0,Burnley,Bournemouth,MID,0
José Holebas,0,0,0,0,0.0,353,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,55649,0,2,0.0,0,-3611,6,3617,47,True,0,Man Utd,Watford,DEF,0
Yves Bissouma,0,0,1,0,6.8,53,173,0,0,2.5,4.4,2019-12-21T15:00:00Z,34,0,0,0,0,18,0,998,1,0,14.0,0,6,51,45,50,True,1,Sheffield Utd,Brighton,MID,0
Connor Wickham,0,0,0,0,0.0,130,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,165604,0,1,0.0,0,-4611,745,5356,44,False,0,Newcastle,Crystal Palace,FWD,0
Josip Drmic,0,0,0,0,0.0,434,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,4429,2,1,0.0,0,-110,28,138,54,True,0,Wolves,Norwich,FWD,0
Romain Saïss,0,0,22,0,1.3,407,177,1,1,8.3,48.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,32376,2,1,33.0,7,731,1857,1126,44,False,1,Norwich,Wolves,DEF,0
Andrew Surman,0,0,0,0,0.0,80,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,2465,1,0,0.0,0,-17,41,58,47,True,0,Burnley,Bournemouth,MID,0
Onel Hernández,0,0,5,0,0.3,284,177,0,0,0.2,2.0,2019-12-21T15:00:00Z,3,0,0,0,0,18,0,5658,2,1,0.0,1,-158,250,408,53,True,0,Wolves,Norwich,MID,0
Sofiane Boufal,0,0,0,0,0.0,508,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,6890,3,1,0.0,0,-425,16,441,55,False,0,Aston Villa,Southampton,MID,0
Bernardo,0,0,0,0,0.0,39,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,6392,1,0,0.0,0,15,96,81,43,True,0,Sheffield Utd,Brighton,DEF,0
Paulo Gazzaniga,0,0,3,0,0.0,341,178,2,0,0.0,0.0,2019-12-22T16:30:00Z,90,0,0,0,0,18,1,310014,2,0,0.0,0,-75,11215,11290,46,True,1,Chelsea,Spurs,GK,0
Danny Welbeck,0,0,0,0,0.0,512,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,8444,0,2,0.0,0,-79,30,109,58,True,0,Man Utd,Watford,FWD,0
Ben Foster,0,3,37,1,0.0,366,179,0,0,5.3,53.2,2019-12-22T14:00:00Z,90,0,0,0,0,18,8,137469,0,2,0.0,11,-3089,1246,4335,48,True,0,Man Utd,Watford,GK,0
Pierre-Emile Højbjerg,0,0,15,0,12.1,325,171,1,0,5.5,23.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,26969,3,1,20.0,2,-947,631,1578,48,False,0,Aston Villa,Southampton,MID,0
Lee Grant,0,0,0,0,0.0,237,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,7308,0,2,0.0,0,-62,13,75,48,False,0,Watford,Man Utd,GK,0
Mace Goodridge,0,0,0,0,0.0,571,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,121,1,0,0.0,0,3,25,22,45,False,0,Bournemouth,Burnley,MID,0
Eldin Jakupovic,0,0,0,0,0.0,169,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,6518,1,3,0.0,0,-87,44,131,43,False,0,Man City,Leicester,GK,0
Billy Sharp,0,0,0,0,0.0,298,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,22109,1,0,0.0,0,-307,172,479,56,False,0,Brighton,Sheffield Utd,FWD,0
Artur Boruc,0,0,0,0,0.0,73,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,18992,1,0,0.0,0,-170,136,306,43,True,0,Burnley,Bournemouth,GK,0
Jan Vertonghen,0,0,12,0,0.7,330,178,2,0,1.1,10.6,2019-12-22T16:30:00Z,73,0,0,0,0,18,0,142775,2,0,0.0,1,23847,26335,2488,52,True,0,Chelsea,Spurs,DEF,0
Nick Pope,0,1,22,1,0.0,93,172,0,0,0.2,2.4,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,1040881,1,0,0.0,7,-3268,13154,16422,47,False,0,Bournemouth,Burnley,GK,0
Steven Defour,0,0,0,0,0.0,99,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,255,1,0,0.0,0,-8,6,14,55,False,0,Bournemouth,Burnley,MID,0
Adam Masina,0,0,0,0,0.0,355,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,4393,0,2,0.0,0,-192,10,202,43,True,0,Man Utd,Watford,DEF,0
Phil Foden,0,0,3,0,0.3,220,175,0,0,0.1,0.2,2019-12-21T17:30:00Z,1,0,0,0,0,18,0,22856,1,3,0.0,1,1562,2032,470,51,True,0,Leicester,Man City,MID,0
Marcos Rojo,0,0,0,0,0.0,227,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,9707,0,2,0.0,0,-184,3,187,48,False,0,Watford,Man Utd,DEF,0
Moussa Djenepo,0,0,0,0,0.0,438,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,7907,3,1,0.0,0,-2340,202,2542,52,False,0,Aston Villa,Southampton,MID,0
Adam Idah,0,0,0,0,0.0,538,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,7743,2,1,0.0,0,190,616,426,44,True,0,Wolves,Norwich,FWD,0
Ben Davies,0,0,0,0,0.0,329,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,9266,2,0,0.0,0,-274,21,295,54,True,0,Chelsea,Spurs,DEF,0
Kiko Femenía,0,0,27,1,17.8,357,179,0,0,4.0,15.6,2019-12-22T14:00:00Z,90,0,0,0,0,18,0,31846,0,2,7.0,6,4156,5487,1331,42,True,0,Man Utd,Watford,DEF,0
Matthew Longstaff,0,0,0,0,0.0,540,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,15789,0,1,0.0,0,-1899,165,2064,45,True,0,Crystal Palace,Newcastle,MID,0
John Fleck,0,0,0,0,0.0,301,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,95397,1,0,0.0,0,-4017,15006,19023,49,False,0,Brighton,Sheffield Utd,MID,0
Eric Dier,0,0,2,0,1.1,350,178,2,0,0.2,1.2,2019-12-22T16:30:00Z,45,0,0,0,0,18,0,14611,2,0,0.0,1,382,758,376,49,True,0,Chelsea,Spurs,MID,0
Oleksandr Zinchenko,0,0,0,0,0.0,206,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,187896,1,3,0.0,0,-1790,1168,2958,52,True,0,Leicester,Man City,DEF,0
Daniel Amartey,0,0,0,0,0.0,178,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,25323,1,3,0.0,0,-95,1333,1428,43,False,0,Man City,Leicester,MID,0
Victor Wanyama,0,0,0,0,0.0,348,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,7157,2,0,0.0,0,-71,112,183,48,True,0,Chelsea,Spurs,MID,0
Jairo Riedewald,0,0,0,0,0.0,539,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,908,0,1,0.0,0,-50,34,84,45,False,0,Newcastle,Crystal Palace,MID,0
Gabriel Martinelli,0,0,4,1,2.1,504,174,0,0,1.1,4.0,2019-12-21T12:30:00Z,90,0,0,0,0,18,0,138085,0,0,5.0,2,11377,18014,6637,45,False,0,Everton,Arsenal,FWD,0
Wilfried Zaha,0,0,1,0,7.3,133,176,1,0,4.7,8.4,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,974571,0,1,31.0,2,81044,110742,29698,68,False,0,Newcastle,Crystal Palace,MID,0
Christoph Zimmermann,0,0,11,0,0.5,275,177,2,0,1.6,11.8,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,2602,2,1,4.0,1,363,490,127,44,True,0,Wolves,Norwich,DEF,0
Craig Cathcart,0,0,17,1,0.0,358,179,0,0,1.0,10.4,2019-12-22T14:00:00Z,90,0,0,0,0,18,0,97757,0,2,0.0,5,2750,5450,2700,43,True,1,Man Utd,Watford,DEF,0
Beram Kayal,0,0,0,0,0.0,56,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,20205,1,0,0.0,0,-2039,1376,3415,43,True,0,Sheffield Utd,Brighton,MID,0
Brandon Pierrick,0,0,0,0,0.0,580,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,0,0,1,0.0,0,0,0,0,45,False,0,Newcastle,Crystal Palace,MID,0
Sam Surridge,0,0,0,0,0.0,71,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,34010,1,0,0.0,0,-631,582,1213,43,True,0,Burnley,Bournemouth,FWD,0
Dwight Gayle,0,0,3,0,0.0,554,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,13,0,0,0,0,18,0,3496,0,1,0.0,1,-104,273,377,50,True,0,Crystal Palace,Newcastle,FWD,0
Giovani Lo Celso,0,0,0,0,0.0,523,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,17044,2,0,0.0,0,-146,206,352,73,True,0,Chelsea,Spurs,MID,0
Alfie Whiteman,0,0,0,0,0.0,543,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,34653,2,0,0.0,0,716,1746,1030,40,True,0,Chelsea,Spurs,GK,0
Callum Hudson-Odoi,0,0,0,0,0.0,116,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,39849,2,0,0.0,0,-4342,739,5081,55,False,0,Spurs,Chelsea,MID,0
Dan Gosling,0,0,7,0,1.4,81,172,1,0,1.4,8.8,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,2176,1,0,4.0,2,943,1080,137,49,True,0,Burnley,Bournemouth,MID,0
Dennis Srbeny,0,0,2,0,2.3,279,177,0,0,0.2,0.0,2019-12-21T15:00:00Z,4,0,0,0,0,18,0,3298,2,1,0.0,1,-31,78,109,52,True,0,Wolves,Norwich,FWD,0
Ezequiel Schelotto,0,0,0,0,0.0,546,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,37692,1,0,0.0,0,1252,3717,2465,40,True,0,Sheffield Utd,Brighton,DEF,0
Demarai Gray,0,0,0,0,0.9,175,175,1,0,0.3,0.4,2019-12-21T17:30:00Z,22,0,0,0,0,18,0,18175,1,3,2.0,1,-196,177,373,51,False,0,Man City,Leicester,MID,0
Will Hughes,0,0,7,1,17.0,370,179,0,0,3.7,19.4,2019-12-22T14:00:00Z,90,0,0,0,0,18,0,26899,0,2,1.0,3,-782,162,944,54,True,0,Man Utd,Watford,MID,0
Mohamed Elneny,0,0,0,0,0.0,20,174,0,0,0.0,0.0,2019-12-21T12:30:00Z,0,0,0,0,0,18,0,58893,0,0,0.0,0,-4534,1052,5586,43,False,0,Everton,Arsenal,MID,0
Sergio Agüero,0,0,2,0,0.0,210,175,0,0,0.2,0.0,2019-12-21T17:30:00Z,1,0,0,0,0,18,0,709622,1,3,2.0,1,-23929,2604,26533,117,True,0,Leicester,Man City,FWD,0
Martín Montoya,0,0,9,0,26.7,38,173,1,0,3.6,7.2,2019-12-21T15:00:00Z,55,0,0,0,0,18,0,47783,1,0,2.0,1,452,2368,1916,45,True,0,Sheffield Utd,Brighton,DEF,0
Pierre-Emerick Aubameyang,0,0,1,1,3.8,11,174,0,0,6.1,3.4,2019-12-21T12:30:00Z,77,0,0,0,0,18,0,1403413,0,0,54.0,2,-19102,41676,60778,108,False,0,Everton,Arsenal,FWD,0
Alexandre Lacazette,0,0,4,0,0.0,12,174,0,0,0.2,2.0,2019-12-21T12:30:00Z,12,0,0,0,0,18,0,122899,0,0,0.0,1,-8006,3056,11062,93,False,0,Everton,Arsenal,FWD,0
Maya Yoshida,0,0,0,0,0.0,310,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,20206,3,1,0.0,0,-416,220,636,43,False,0,Aston Villa,Southampton,DEF,0
Leandro Trossard,0,0,3,0,1.2,421,173,1,0,0.1,0.0,2019-12-21T15:00:00Z,45,0,0,0,0,18,0,26126,1,0,0.0,1,2069,3514,1445,58,True,0,Sheffield Utd,Brighton,MID,0
Scott McTominay,0,0,9,0,2.2,248,179,2,0,4.5,10.2,2019-12-22T14:00:00Z,71,0,0,0,0,18,0,182478,0,2,33.0,2,2877,13571,10694,51,False,0,Watford,Man Utd,MID,0
Asmir Begovic,0,0,0,0,0.0,72,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,60418,1,0,0.0,0,-1067,53,1120,42,True,0,Burnley,Bournemouth,GK,0
Chris Smalling,0,0,0,0,0.0,223,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,9162,0,2,0.0,0,-40,24,64,53,False,0,Watford,Man Utd,DEF,0
Alireza Jahanbakhsh,0,0,0,0,0.0,50,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,4666,1,0,0.0,0,-3,60,63,58,True,0,Sheffield Utd,Brighton,MID,0
Leon Balogun,0,0,0,0,0.0,40,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,3976,1,0,0.0,0,-36,42,78,44,True,0,Sheffield Utd,Brighton,DEF,0
Danny Ings,0,3,54,0,17.0,313,171,1,2,16.0,75.8,2019-12-21T15:00:00Z,86,0,0,0,0,18,0,888726,3,1,67.0,13,5203,67930,62727,64,False,0,Aston Villa,Southampton,FWD,0
Reece James,0,0,3,0,1.7,506,178,0,0,2.0,0.4,2019-12-22T16:30:00Z,10,0,0,0,0,18,0,33179,2,0,18.0,1,-5335,1237,6572,50,False,0,Spurs,Chelsea,DEF,0
Nathaniel Chalobah,0,0,3,0,0.1,374,179,0,0,0.5,3.2,2019-12-22T14:00:00Z,21,0,0,0,0,18,0,15026,0,2,2.0,1,-413,142,555,44,True,0,Man Utd,Watford,MID,0
Rui Patrício,0,0,20,0,0.0,411,177,1,0,4.3,43.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,6,811669,2,1,0.0,4,-11270,9525,20795,52,False,0,Norwich,Wolves,GK,0
Sebastian Prödl,0,0,0,0,0.0,361,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,88653,0,2,0.0,0,-3036,76,3112,40,True,0,Man Utd,Watford,DEF,0
Marco Stiepermann,0,0,0,0,0.0,285,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,5199,2,1,0.0,0,-75,32,107,51,True,0,Wolves,Norwich,MID,0
Reiss Nelson,0,0,9,1,21.4,489,174,0,0,3.5,9.8,2019-12-21T12:30:00Z,90,0,0,0,0,18,0,7099,0,0,4.0,3,-28,75,103,53,False,0,Everton,Arsenal,MID,0
Nampalys Mendy,0,0,0,0,0.0,179,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,79618,1,3,0.0,0,507,5518,5011,43,False,0,Man City,Leicester,MID,0
